날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 01,서울 강남구 ,강남구,111261,0.004,0.3,0.038,0.029,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 02,서울 강남구 ,강남구,111261,0.005,0.3,0.041,0.021,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 03,서울 강남구 ,강남구,111261,0.004,0.3,0.043,0.016,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 04,서울 강남구 ,강남구,111261,0.005,0.2,0.05,0.011,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 05,서울 강남구 ,강남구,111261,0.004,0.2,0.049,0.012,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 06,서울 강남구 ,강남구,111261,0.005,0.3,0.043,0.017,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 07,서울 강남구 ,강남구,111261,0.004,0.2,0.031,0.03,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 08,서울 강남구 ,강남구,111261,0.004,0.2,0.036,0.026,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 09,서울 강남구 ,강남구,111261,0.005,0.2,0.039,0.022,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 10,서울 강남구 ,강남구,111261,0.005,0.3,0.04,0.021,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 11,서울 강남구 ,강남구,111261,0.004,0.3,0.043,0.019,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 12,서울 강남구 ,강남구,111261,0.004,0.2,0.055,0.016,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 13,서울 강남구 ,강남구,111261,0.005,0.2,0.061,0.014,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 14,서울 강남구 ,강남구,111261,0.005,0.2,0.062,0.014,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 15,서울 강남구 ,강남구,111261,0.004,0.2,0.059,0.013,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 16,서울 강남구 ,강남구,111261,0.004,0.2,0.057,0.013,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 17,서울 강남구 ,강남구,111261,0.004,0.2,0.047,0.015,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 18,서울 강남구 ,강남구,111261,0.004,0.2,0.041,0.013,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 19,서울 강남구 ,강남구,111261,0.005,0.2,0.038,0.014,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 20,서울 강남구 ,강남구,111261,0.004,0.2,0.038,0.013,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 21,서울 강남구 ,강남구,111261,0.004,0.2,0.034,0.017,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 22,서울 강남구 ,강남구,111261,0.004,0.3,0.032,0.018,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 23,서울 강남구 ,강남구,111261,0.004,0.3,0.029,0.018,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 24,서울 강남구 ,강남구,111261,0.004,0.3,0.026,0.02,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 01,서울 강남구 ,강남구,111261,0.004,0.2,0.026,0.017,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 02,서울 강남구 ,강남구,111261,0.004,0.3,0.026,0.015,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 03,서울 강남구 ,강남구,111261,0.005,0.3,0.025,0.014,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 04,서울 강남구 ,강남구,111261,0.004,0.3,0.024,0.014,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 05,서울 강남구 ,강남구,111261,0.004,0.3,0.024,0.012,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 06,서울 강남구 ,강남구,111261,0.004,0.3,0.024,0.013,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 07,서울 강남구 ,강남구,111261,0.005,0.3,0.018,0.019,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 08,서울 강남구 ,강남구,111261,0.005,0.4,0.021,0.021,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 09,서울 강남구 ,강남구,111261,0.006,0.4,0.014,0.031,44,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 10,서울 강남구 ,강남구,111261,0.004,0.4,0.01,0.033,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 11,서울 강남구 ,강남구,111261,0.005,0.4,0.014,0.036,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 12,서울 강남구 ,강남구,111261,0.004,0.4,0.018,0.041,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 13,서울 강남구 ,강남구,111261,0.006,0.4,0.032,0.033,48,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 14,서울 강남구 ,강남구,111261,0.006,0.4,0.041,0.037,64,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 15,서울 강남구 ,강남구,111261,0.007,0.5,0.042,0.041,60,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 16,서울 강남구 ,강남구,111261,0.006,0.4,0.062,0.035,66,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 17,서울 강남구 ,강남구,111261,0.006,0.4,0.08,0.031,58,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 18,서울 강남구 ,강남구,111261,0.005,0.4,0.081,0.025,60,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 19,서울 강남구 ,강남구,111261,0.006,0.4,0.061,0.028,59,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 20,서울 강남구 ,강남구,111261,0.005,0.4,0.044,0.034,54,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 21,서울 강남구 ,강남구,111261,0.005,0.4,0.03,0.038,62,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 22,서울 강남구 ,강남구,111261,0.005,0.4,0.02,0.038,64,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 23,서울 강남구 ,강남구,111261,0.005,0.4,0.018,0.038,57,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07 24,서울 강남구 ,강남구,111261,0.005,0.4,0.009,0.042,56,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08 01,서울 강남구 ,강남구,111261,0.007,0.4,0.002,0.047,49,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08 02,서울 강남구 ,강남구,111261,0.005,0.4,0.003,0.043,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08 03,서울 강남구 ,강남구,111261,0.006,0.4,0.01,0.028,42,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08 04,서울 강남구 ,강남구,111261,0.005,0.3,0.019,0.015,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08 05,서울 강남구 ,강남구,111261,0.005,0.3,0.02,0.013,39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
